run,mutation,crossover,selection,elitism,generation,fitness
2,heuristic_mutation,geometric_crossover,tournament_k3,1,59,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,60,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,61,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,62,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,63,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,64,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,65,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,66,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,67,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,68,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,69,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,70,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,71,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,72,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,73,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,74,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,75,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,76,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,77,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,78,69800
2,heuristic_mutation,geometric_crossover,tournament_k3,1,79,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,80,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,81,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,82,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,83,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,84,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,85,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,86,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,87,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,88,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,89,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,90,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,91,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,92,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,93,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,94,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,95,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,96,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,97,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,98,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,99,71600
2,heuristic_mutation,geometric_crossover,tournament_k3,1,100,71600
3,heuristic_mutation,geometric_crossover,tournament_k3,1,1,36000
3,heuristic_mutation,geometric_crossover,tournament_k3,1,2,43000
3,heuristic_mutation,geometric_crossover,tournament_k3,1,3,50300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,4,50300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,5,51900
3,heuristic_mutation,geometric_crossover,tournament_k3,1,6,51900
3,heuristic_mutation,geometric_crossover,tournament_k3,1,7,51900
3,heuristic_mutation,geometric_crossover,tournament_k3,1,8,51900
3,heuristic_mutation,geometric_crossover,tournament_k3,1,9,52900
3,heuristic_mutation,geometric_crossover,tournament_k3,1,10,60100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,11,60200
3,heuristic_mutation,geometric_crossover,tournament_k3,1,12,61400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,13,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,14,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,15,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,16,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,17,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,18,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,19,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,20,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,21,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,22,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,23,63400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,24,64100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,25,64100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,26,64300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,27,64300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,28,64300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,29,64300
3,heuristic_mutation,geometric_crossover,tournament_k3,1,30,64700
3,heuristic_mutation,geometric_crossover,tournament_k3,1,31,64700
3,heuristic_mutation,geometric_crossover,tournament_k3,1,32,65400
3,heuristic_mutation,geometric_crossover,tournament_k3,1,33,66100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,34,66100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,35,66100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,36,66100
3,heuristic_mutation,geometric_crossover,tournament_k3,1,37,66800
3,heuristic_mutation,geometric_crossover,tournament_k3,1,38,66800
3,heuristic_mutation,geometric_crossover,tournament_k3,1,39,66800
3,heuristic_mutation,geometric_crossover,tournament_k3,1,40,66800
3,heuristic_mutation,geometric_crossover,tournament_k3,1,41,66800
